model,accuracy,EO_SEX,EO_RACE,EO_MAR,dataset
XGBoost,0.7822723609991942,0.05517913392090107,0.10297936200924969,0.14672321764520346,MN
LogisticRegression,0.7903629536921152,0.04559145673603504,0.20728961441035743,0.052975447357469826,ID
XGBoost,0.8241551939924906,0.06801528393347692,0.060514117151285296,0.13964755041482468,ID
LogisticRegression,0.691609977324263,0.061367322698885035,0.2462406015037594,0.09688013136288998,ND
XGBoost,0.7437641723356009,0.1482266695615525,0.20300751879699247,0.16091954022988497,ND
LogisticRegression,0.7854663212435233,0.0394847015305263,0.04335765274790404,0.11371763210701202,CA
XGBoost,0.8264507772020725,0.022163983635171025,0.051354904167438375,0.10775511121448578,CA
LogisticRegression,0.7765932243544184,0.037142161541947494,0.0414059495826502,0.15478993951816666,VA
XGBoost,0.8221985311537551,0.06292708860102947,0.05738464696579382,0.12866024463234105,VA
LogisticRegression,0.7566331198536139,0.05485646497566824,0.2456445993031359,0.154367666232073,MT
XGBoost,0.7904849039341263,0.044081592625281885,0.06968641114982582,0.08524407929622366,MT
LogisticRegression,0.8070044709388972,0.04416575790621591,0.08611332801276939,0.13359538100208768,AR
XGBoost,0.8252608047690015,0.09240490089165443,0.09904229848363932,0.13762395615866385,AR
LogisticRegression,0.7681159420289855,0.025008914389445358,0.06160032027292828,0.14015566249925737,KS
XGBoost,0.808300395256917,0.05206003436091933,0.033344549572927415,0.11527852044237352,KS
LogisticRegression,0.7700105916174913,0.06952612082916121,0.07838170766796149,0.19665383816327214,MD
XGBoost,0.8147980027235587,0.030413714535409975,0.05524070277657889,0.15851918682107363,MD
LogisticRegression,0.7619672131147541,0.09558067831449124,0.013354371921182273,0.22042745986407958,NH
XGBoost,0.7927868852459017,0.05688429217840982,0.014294516327787998,0.15133070772168516,NH
LogisticRegression,0.7859775434987571,0.05048461938839277,0.020064186761818426,0.11672659277664238,OH
XGBoost,0.8227479214879575,0.056704900045336626,0.03799832209445701,0.13855736370343352,OH
LogisticRegression,0.7448099648674544,0.04095340929039504,0.08866749688667497,0.13726726348085572,CO
XGBoost,0.793197061641648,0.04644277548891462,0.10176180408738544,0.13034365849899832,CO
LogisticRegression,0.7473709953533871,0.021551525220360912,0.06459087158001653,0.09777131095180637,LA
XGBoost,0.7911469797016385,0.07600719922469878,0.12857868342537926,0.11709541862028365,LA
LogisticRegression,0.7394957983193278,0.05705170517051705,0.10316361585397116,0.16573308873294623,HI
XGBoost,0.7666451195862961,0.027722772277227747,0.11796111048668093,0.15879136536885974,HI
LogisticRegression,0.778738902799909,0.07907358894974997,0.10431000781860833,0.07962730755834203,KY
XGBoost,0.8058274527657637,0.03110883373980916,0.04819424429014367,0.1011816440264716,KY
LogisticRegression,0.7601713062098501,0.06075936686034861,0.07354956601187757,0.1659154929577465,ME
XGBoost,0.7922912205567452,0.053696339349444275,0.06007309273640937,0.20149295774647885,ME
