model,accuracy,value_EO_SEX,EO_SEX,value_EO_RACE,EO_RACE,value_EO_MAR,EO_MAR,dataset
XGBoost,0.8160747663551402,1.0_2.0,0.029078377762588287,4.0_5.0,0.5526315789473684,1.0_2.0,0.17242394926367838,MA_0
LogisticRegression,0.7671232876712328,1.0_2.0,0.01984677565301321,4.0_3.0,0.5,1.0_2.0,0.07656555772994128,MT_1
XGBoost,0.7150684931506849,2.0_1.0,0.08461538461538459,3.0_5.0,1.0,2.0_1.0,0.19756097560975605,MT_1
LogisticRegression,0.7700214132762313,1.0_2.0,0.022685331772577394,4.0_5.0,0.6,1.0_2.0,0.15778635778635786,IN_0
XGBoost,0.7961456102783726,1.0_2.0,0.07628194672321208,4.0_5.0,0.4,1.0_2.0,0.15175175175175182,IN_0
LogisticRegression,0.7185185185185186,2.0_1.0,0.015797317436661684,3.0_4.0,1.0,1.0_2.0,0.11806569343065695,WV_0
XGBoost,0.7277777777777777,1.0_2.0,0.2682563338301044,3.0_4.0,1.0,1.0_2.0,0.2036496350364964,WV_0
LogisticRegression,0.775284306292646,2.0_1.0,0.011110705151625877,1.0_4.0,0.32961783439490444,1.0_2.0,0.09639007790175125,FL_0
XGBoost,0.8078847611827141,1.0_2.0,0.05179311956077337,4.0_2.0,0.22115384615384615,1.0_2.0,0.10075747694764259,FL_0
LogisticRegression,0.7625282167042889,2.0_1.0,0.032375114493059964,1.0_5.0,0.2409576461769115,1.0_2.0,0.1156213110883765,AZ_0
XGBoost,0.7909706546275395,1.0_2.0,0.0382582963432678,3.0_4.0,0.4441591784338896,1.0_2.0,0.11444229529335903,AZ_0
LogisticRegression,0.7715491259795058,1.0_2.0,0.08362222922575901,3.0_4.0,0.75,1.0_2.0,0.11392961876832841,SC_2
XGBoost,0.7920433996383364,1.0_2.0,0.07455264908778936,3.0_4.0,0.875,1.0_2.0,0.14489245324857714,SC_2
LogisticRegression,0.7783295711060948,2.0_1.0,0.025470653377630104,3.0_5.0,0.11519607843137254,1.0_2.0,0.13396622714164264,AZ_1
XGBoost,0.8027088036117381,1.0_2.0,0.03726584296532484,3.0_5.0,0.22976190476190483,1.0_2.0,0.09941895344338766,AZ_1
LogisticRegression,0.7726067746686304,2.0_1.0,0.03414871139398998,3.0_4.0,0.6666666666666666,1.0_2.0,0.10525504851822713,GA_1
XGBoost,0.8002945508100148,1.0_2.0,0.011668210037562604,3.0_4.0,0.27192982456140347,1.0_2.0,0.11613466642828651,GA_1
LogisticRegression,0.7383720930232558,2.0_1.0,0.09002433090024331,3.0_2.0,0.6388888888888888,1.0_2.0,0.21253561253561248,HI_2
XGBoost,0.7790697674418605,1.0_2.0,0.07438303788668754,5.0_2.0,0.7017543859649122,1.0_2.0,0.3088319088319088,HI_2
LogisticRegression,0.7556785090273733,2.0_1.0,0.07764174997373507,3.0_4.0,0.34325396825396826,1.0_2.0,0.13116837446680862,NY_2
XGBoost,0.7971753057658707,2.0_1.0,0.02694077857425703,3.0_5.0,0.2082166199813259,1.0_2.0,0.11165248032170354,NY_2
LogisticRegression,0.778584392014519,2.0_1.0,0.01938153310104529,1.0_2.0,0.43448275862068964,1.0_2.0,0.1025309917355372,ID_1
XGBoost,0.7695099818511797,2.0_1.0,0.1317508710801394,1.0_2.0,0.5724137931034483,1.0_2.0,0.1575413223140496,ID_1
LogisticRegression,0.7707509881422925,2.0_1.0,0.05635864250970035,4.0_2.0,0.22619047619047616,1.0_2.0,0.11550719604892541,PA_0
XGBoost,0.8010540184453228,1.0_2.0,0.048901343206864845,3.0_2.0,0.2716382150344415,1.0_2.0,0.1867753623188405,PA_0
LogisticRegression,0.7612461784830398,2.0_1.0,0.07763356055802151,3.0_4.0,0.3269076305220884,1.0_2.0,0.14188330389828008,NY_0
XGBoost,0.7947299461348085,1.0_2.0,0.040011115538151926,3.0_4.0,0.3710843373493976,1.0_2.0,0.11548958223194761,NY_0
LogisticRegression,0.7272727272727273,2.0_1.0,0.16666666666666663,1.0_3.0,0.53125,1.0_2.0,0.14857142857142858,AK_0
XGBoost,0.7532467532467533,2.0_1.0,0.03248826291079812,3.0_2.0,0.75,1.0_2.0,0.206963249516441,AK_0
LogisticRegression,0.759090909090909,1.0_2.0,0.028567674400779612,1.0_4.0,0.3738738738738739,1.0_2.0,0.1038917089678511,MS_0
XGBoost,0.7875,2.0_1.0,0.08254534641688965,3.0_4.0,0.6666666666666666,1.0_2.0,0.13996615905245346,MS_0
LogisticRegression,0.7599425011978918,1.0_2.0,0.07882394472741949,1.0_4.0,0.3822874944370272,1.0_2.0,0.16630268180042276,CO_1
XGBoost,0.7848586487781505,1.0_2.0,0.11151596147057341,3.0_4.0,0.5,1.0_2.0,0.15042676390739423,CO_1
LogisticRegression,0.7687366167023555,2.0_1.0,0.14878048780487801,1.0_2.0,0.5234375,1.0_2.0,0.13813068651778326,ME_2
XGBoost,0.8051391862955032,1.0_2.0,0.12132932244664088,1.0_2.0,0.6875,1.0_2.0,0.09567108828983026,ME_2
LogisticRegression,0.7658410138248848,2.0_1.0,0.015270799628442674,3.0_5.0,0.325,1.0_2.0,0.14264929513788993,NC_0
XGBoost,0.7969470046082949,1.0_2.0,0.03243542778264452,3.0_4.0,0.6736111111111112,1.0_2.0,0.12671900045209816,NC_0
LogisticRegression,0.7643240823634736,2.0_1.0,0.10990191304710095,3.0_4.0,0.4336569579288026,1.0_2.0,0.14360626944316268,IL_0
XGBoost,0.8030438675022381,1.0_2.0,0.03183735505575763,3.0_4.0,0.5113268608414239,1.0_2.0,0.1260973758242412,IL_0
LogisticRegression,0.7574609189957366,2.0_1.0,0.025346410182934154,4.0_3.0,0.7333333333333334,1.0_2.0,0.11129299807927362,MO_1
XGBoost,0.7858834675509238,1.0_2.0,0.024790353064498186,4.0_2.0,0.40625,1.0_2.0,0.10594552121529588,MO_1
LogisticRegression,0.8015873015873016,2.0_1.0,0.08696969696969696,2.0_3.0,1.0,1.0_2.0,0.185,VT_1
XGBoost,0.7738095238095238,1.0_2.0,0.22549019607843135,2.0_3.0,1.0,1.0_2.0,0.263125,VT_1
LogisticRegression,0.7803992740471869,1.0_2.0,0.06602564102564101,2.0_4.0,1.0,1.0_2.0,0.031526836894215746,ID_2
