model,accuracy,value_DP_SEX,DP_SEX,value_DP_RACE,DP_RACE,value_DP_MAR,DP_MAR,dataset
XGBoost,0.8163649680862195,1.0_2.0,0.1319093283775257,3.0_5.0,0.3385050823263026,1.0_2.0,0.3139977677193981,NJ
LogisticRegression,0.7773952954675847,1.0_2.0,0.0214728453364816,3.0_4.0,0.2915321960965114,1.0_2.0,0.1612746492226014,NM
XGBoost,0.810671256454389,1.0_2.0,0.0711979781582054,3.0_4.0,0.4559704933148917,1.0_2.0,0.2154081342434584,NM
LogisticRegression,0.7597185149235622,1.0_2.0,0.0259584946534066,1.0_5.0,0.2250221484006755,1.0_2.0,0.2286320925488169,NY
XGBoost,0.8047561271536035,1.0_2.0,0.083193772142024,1.0_5.0,0.2488458097815504,1.0_2.0,0.2238556985166609,NY
LogisticRegression,0.7774150182446706,1.0_2.0,0.0466045849770753,3.0_5.0,0.2671482150298652,1.0_2.0,0.1869697011324583,NC
XGBoost,0.8160169003264836,1.0_2.0,0.118184897789771,3.0_5.0,0.3275871648840117,1.0_2.0,0.2160084599652439,NC
LogisticRegression,0.6980920314253648,1.0_2.0,0.0993459676588731,1.0_2.0,0.2282608695652174,1.0_2.0,0.1827354726078643,ND
XGBoost,0.7261503928170595,1.0_2.0,0.1497579565351735,1.0_2.0,0.3177018633540373,1.0_2.0,0.2520679191952781,ND
LogisticRegression,0.7639508928571429,1.0_2.0,0.0542356509379191,3.0_2.0,0.1068131868131868,1.0_2.0,0.1234375,OK
XGBoost,0.8127790178571429,1.0_2.0,0.1464935636924185,1.0_2.0,0.0959610293338981,1.0_2.0,0.2038461538461538,OK
LogisticRegression,0.7646757429366126,1.0_2.0,0.0504465628275067,3.0_4.0,0.24181240063593,1.0_2.0,0.2080054404938185,PA
XGBoost,0.8079344166300688,1.0_2.0,0.1226669341760507,3.0_4.0,0.3573926868044515,1.0_2.0,0.2427420865736592,PA
LogisticRegression,0.7655293088363955,1.0_2.0,0.0871133577905107,1.0_5.0,0.3232388316151202,1.0_2.0,0.3148765905258316,RI
XGBoost,0.8013998250218722,1.0_2.0,0.1853060623535329,1.0_5.0,0.3189003436426116,1.0_2.0,0.3216495477541009,RI
LogisticRegression,0.7640675241157556,1.0_2.0,0.0495702494161063,1.0_5.0,0.1800690325979763,1.0_2.0,0.1844327547452547,SC
XGBoost,0.8018488745980707,1.0_2.0,0.1150332320523892,1.0_5.0,0.2097895248774029,1.0_2.0,0.2478927322677322,SC
LogisticRegression,0.7602040816326531,1.0_2.0,0.0750398793830878,1.0_2.0,0.1238532110091743,1.0_2.0,0.0756825660332612,SD
XGBoost,0.7724489795918368,1.0_2.0,0.1073348910241192,1.0_2.0,0.216743119266055,1.0_2.0,0.1274419707704621,SD
LogisticRegression,0.7856197617997354,1.0_2.0,0.047902680861925,3.0_5.0,0.2697172619047619,1.0_2.0,0.1876161645224732,TN
XGBoost,0.8219379503014262,1.0_2.0,0.105447899046968,3.0_5.0,0.3218005952380952,1.0_2.0,0.2089796469756434,TN
LogisticRegression,0.7734780209674453,1.0_2.0,0.0509441734152262,3.0_5.0,0.2260099043230539,1.0_2.0,0.2155901184329789,TX
XGBoost,0.8132058120286922,1.0_2.0,0.1149930918116571,3.0_5.0,0.2491719168292184,1.0_2.0,0.2459385514673756,TX
LogisticRegression,0.8011015911872705,1.0_2.0,0.151140168455421,1.0_4.0,0.2081204359553518,1.0_2.0,0.2329010577489307,UT
XGBoost,0.8237454100367197,1.0_2.0,0.2423634383709371,1.0_4.0,0.1837130764676213,1.0_2.0,0.2692078186519098,UT
