model,accuracy,value_EO_SEX,EO_SEX,value_EO_RACE,EO_RACE,value_EO_MAR,EO_MAR,dataset
XGBoost,0.8219379503014262,1.0_2.0,0.030232824575504413,3.0_4.0,0.3113207547169812,1.0_2.0,0.09542983845199193,TN
LogisticRegression,0.7670492910195814,2.0_1.0,0.0878396050609736,4.0_5.0,0.28603603603603606,1.0_2.0,0.10608253968253972,NV
XGBoost,0.7903443619176233,1.0_2.0,0.053891241317452696,4.0_5.0,0.2635135135135135,1.0_2.0,0.10494391534391534,NV
LogisticRegression,0.7639508928571429,1.0_2.0,0.004202089326622804,3.0_2.0,0.18637992831541217,1.0_2.0,0.0753728406374268,OK
XGBoost,0.8127790178571429,1.0_2.0,0.060020975292511575,5.0_4.0,0.12571428571428572,1.0_2.0,0.11521894009974243,OK
LogisticRegression,0.761595547309833,2.0_1.0,0.07957688338493285,5.0_4.0,0.5,1.0_2.0,0.10010166561576772,NE
XGBoost,0.7987012987012987,1.0_2.0,0.068213085906255,3.0_4.0,0.75,1.0_2.0,0.16354829381145164,NE
LogisticRegression,0.8011015911872705,1.0_2.0,0.017081867452695687,1.0_4.0,0.250049850448654,1.0_2.0,0.1335161786049689,UT
XGBoost,0.8237454100367197,1.0_2.0,0.1431634496529428,1.0_2.0,0.24675972083748754,1.0_2.0,0.16823721506018952,UT
LogisticRegression,0.74415228262623,2.0_1.0,0.09301973121641804,3.0_2.0,0.31257861635220124,1.0_2.0,0.13157354787833592,MN
XGBoost,0.7854492660106469,1.0_2.0,0.07154056353222092,3.0_4.0,0.34905660377358494,1.0_2.0,0.1270384132412753,MN
LogisticRegression,0.7725347852389595,2.0_1.0,0.00882910193255021,2.0_5.0,0.8181818181818181,1.0_2.0,0.03962753418198961,ID
XGBoost,0.7924984875983061,1.0_2.0,0.0495986142013754,2.0_5.0,0.7272727272727273,1.0_2.0,0.046663481446090144,ID
LogisticRegression,0.6980920314253648,1.0_2.0,0.025968309859154937,5.0_3.0,0.5,1.0_2.0,0.14597701149425285,ND
XGBoost,0.7261503928170595,1.0_2.0,0.06420554577464788,1.0_3.0,0.6042296072507553,1.0_2.0,0.18812260536398467,ND
LogisticRegression,0.7804921677356706,2.0_1.0,0.04357042154632518,3.0_5.0,0.22355080004662087,1.0_2.0,0.12594715565329484,CA
XGBoost,0.825594766565303,1.0_2.0,0.015830642796860916,3.0_5.0,0.19339774222015016,1.0_2.0,0.11019413534948053,CA
LogisticRegression,0.7767905515223751,2.0_1.0,0.060078581635034156,4.0_5.0,0.22410660205935795,1.0_2.0,0.16337751451527768,VA
XGBoost,0.8222992740275219,1.0_2.0,0.05297833089051185,3.0_2.0,0.1464293282475101,1.0_2.0,0.11809278048208316,VA
LogisticRegression,0.7703568161024703,1.0_2.0,0.06880616174582799,1.0_2.0,0.3821428571428571,1.0_2.0,0.12875880634629705,MT
XGBoost,0.7923147301006405,1.0_2.0,0.09627727856225926,3.0_2.0,1.0,1.0_2.0,0.11083108998224417,MT
LogisticRegression,0.7863554757630161,2.0_1.0,0.015946502057613166,2.0_5.0,0.2706766917293233,1.0_2.0,0.08351608187134507,AR
XGBoost,0.7996409335727109,1.0_2.0,0.026110572598744247,3.0_5.0,0.1700404858299595,1.0_2.0,0.08918128654970764,AR
LogisticRegression,0.7669196710942442,2.0_1.0,0.03835005574136008,4.0_5.0,0.21999999999999997,1.0_2.0,0.11887250709814245,KS
XGBoost,0.8121442125237192,1.0_2.0,0.0718033873038221,2.0_4.0,0.18181818181818177,1.0_2.0,0.17518443767887892,KS
LogisticRegression,0.7648660916931457,2.0_1.0,0.060193690340839434,3.0_4.0,0.3651162790697674,1.0_2.0,0.17197273055933343,MD
XGBoost,0.8172189438644273,1.0_2.0,0.04795248718062592,3.0_5.0,0.23756033347959638,1.0_2.0,0.15851705200819463,MD
LogisticRegression,0.7647427854454203,1.0_2.0,0.03615695632001059,1.0_2.0,0.6903973509933775,1.0_2.0,0.1402038132807364,NH
XGBoost,0.7816813048933501,1.0_2.0,0.07172841961070231,4.0_2.0,0.5,1.0_2.0,0.14271614686142914,NH
LogisticRegression,0.7763740243019233,2.0_1.0,0.08314914627683634,3.0_4.0,0.7,1.0_2.0,0.11634325797511957,OH
XGBoost,0.8132292588718114,1.0_2.0,0.04743049654687684,3.0_4.0,0.8666666666666667,1.0_2.0,0.11671726245115266,OH
LogisticRegression,0.7481635260300223,2.0_1.0,0.012140363248236058,2.0_4.0,0.38461538461538464,1.0_2.0,0.17823708195684856,CO
XGBoost,0.794314915362504,1.0_2.0,0.054394579253805087,1.0_4.0,0.31592421915002566,1.0_2.0,0.14803294393594607,CO
LogisticRegression,0.7551515151515151,2.0_1.0,0.07102488463111162,3.0_5.0,0.36454849498327757,1.0_2.0,0.08020581113801456,LA
XGBoost,0.792969696969697,1.0_2.0,0.0780339194601489,1.0_5.0,0.2565102672937937,1.0_2.0,0.10805084745762716,LA
LogisticRegression,0.7453135100193924,2.0_1.0,0.04754339086685444,1.0_4.0,0.6733668341708543,1.0_2.0,0.15506028804287153,HI
XGBoost,0.7776341305753071,1.0_2.0,0.0034183096218194375,1.0_4.0,0.7537688442211056,1.0_2.0,0.18195266272189348,HI
LogisticRegression,0.783507496592458,2.0_1.0,0.06369091483314038,3.0_4.0,0.55,1.0_2.0,0.08478171203224605,KY
XGBoost,0.8082689686506134,2.0_1.0,0.0507948205074219,5.0_4.0,0.7368421052631579,1.0_2.0,0.12523599378954886,KY
LogisticRegression,0.7723054960742327,2.0_1.0,0.15708812260536403,3.0_2.0,0.8333333333333334,1.0_2.0,0.11555330634278005,ME
XGBoost,0.7994289793004996,1.0_2.0,0.0706043956043956,3.0_2.0,1.0,1.0_2.0,0.083502024291498,ME
