model,accuracy,EO_SEX,EO_RACE,EO_MAR,dataset
LogisticRegression,0.75,0.07391470644482695,0.10170471688625163,0.13732251521298178,WI_3
XGBoost,0.7720588235294118,0.046442734583603235,0.09758121291360755,0.15983772819472614,WI_3
LogisticRegression,0.778343949044586,0.027364485981308362,0.028443687460080858,0.16238524011299438,MI_0
XGBoost,0.7987261146496816,0.07001123683236751,0.02679440473873021,0.11148347872596112,MI_0
LogisticRegression,0.7875507442489851,0.045112781954887216,0.04640224640224641,0.09075943650481477,AL_4
XGBoost,0.7753721244925575,0.06957376756104465,0.1593344613649182,0.12881138644872747,AL_4
LogisticRegression,0.7640449438202247,0.14364035087719296,0.43661971830985913,0.06135531135531136,ID_2
XGBoost,0.7752808988764045,0.07218141168955605,0.5211267605633803,0.10989010989010989,ID_2
LogisticRegression,0.6598639455782312,0.2369047619047619,0.06321839080459773,0.16279069767441862,ND_1
XGBoost,0.6462585034013606,0.09642857142857147,0.5172413793103449,0.3023255813953488,ND_1
LogisticRegression,0.729636048526863,0.019642857142857142,0.044622258563794065,0.20583887657058392,OK_2
XGBoost,0.804159445407279,0.10755961440892953,0.10767832803271238,0.11308203991130827,OK_2
LogisticRegression,0.7726657645466847,0.014462345447733227,0.23297730307076103,0.06539074960127592,AL_2
XGBoost,0.7794316644113667,0.028454886604666343,0.11515353805073425,0.08931419457735248,AL_2
LogisticRegression,0.7481927710843373,0.06441717791411045,0.08322217281754854,0.11269556714471968,SC_1
XGBoost,0.755421686746988,0.14381783860311464,0.09343411886764487,0.15800195567144726,SC_1
LogisticRegression,0.7481927710843373,0.08260718020216101,0.18565941101152372,0.11989572195725562,SC_0
XGBoost,0.7698795180722892,0.09773440223074248,0.11865130174989336,0.13312269489061618,SC_0
LogisticRegression,0.7789203084832905,0.04725218284540317,0.052872192407076135,0.12803532008830026,OH_1
XGBoost,0.7994858611825193,0.11832306111967128,0.05625124229775391,0.1412895799950349,OH_1
LogisticRegression,0.76146364057434,0.017819973662971056,0.06189679885332061,0.10731912253011654,PA_1
XGBoost,0.7966651227420102,0.04075867635189667,0.0668597389290417,0.12690474676287,PA_1
LogisticRegression,0.7776243093922652,0.059640522875817004,0.13043478260869568,0.21168582375478928,OR_4
XGBoost,0.7831491712707183,0.08088235294117652,0.30326086956521736,0.14559386973180077,OR_4
LogisticRegression,0.7728194726166329,0.10850241545893724,0.1697054698457223,0.11626139817629177,MO_4
XGBoost,0.7991886409736308,0.09458937198067635,0.03316730812768848,0.08102203647416417,MO_4
LogisticRegression,0.7350427350427351,0.046082949308755755,0.39436619718309857,0.3638344226579521,ME_1
XGBoost,0.811965811965812,0.19145299145299155,0.647887323943662,0.07843137254901955,ME_1
LogisticRegression,0.7858308086693079,0.033946259885449304,0.04049996532834055,0.10559790438768835,TX_0
XGBoost,0.8114658587741785,0.06674660722850778,0.021282009108011132,0.13211001964636548,TX_0
LogisticRegression,0.8024357239512855,0.027304701962236277,0.04102564102564099,0.08145865741294722,AL_3
XGBoost,0.8051420838971584,0.005368382080710887,0.05083574325676142,0.12513461768577241,AL_3
LogisticRegression,0.7747035573122529,0.16190476190476188,0.04857397504456323,0.06096256684491978,KS_4
XGBoost,0.7529644268774703,0.07058823529411762,0.052007740686985965,0.07807486631016043,KS_4
LogisticRegression,0.7807228915662651,0.028318260710696985,0.07885033688789855,0.15043930428545815,SC_4
XGBoost,0.7843373493975904,0.07170982886566712,0.08048780487804874,0.2661825354133046,SC_4
LogisticRegression,0.7848484848484848,0.04902124253843332,0.07920227920227921,0.19063878218807795,CT_5
XGBoost,0.803030303030303,0.12370311252992816,0.06809116809116811,0.14590313737435273,CT_5
LogisticRegression,0.7799191793596518,0.052847805788982294,0.09281558416159696,0.0904152760785554,CA_1
XGBoost,0.8108486167236556,0.016407570115828718,0.08556481410341477,0.10532432259979638,CA_1
LogisticRegression,0.7746724890829695,0.03143329202808759,0.17293413173652694,0.09940717177559288,IN_3
XGBoost,0.7982532751091703,0.0855770744764604,0.047757475083056486,0.13884470792365533,IN_3
LogisticRegression,0.79171974522293,0.0102844363246921,0.18367346938775508,0.18931034482758624,MI_2
XGBoost,0.8171974522292994,0.10412600121155002,0.11734693877551017,0.06902058758420036,MI_2
LogisticRegression,0.7720810999766954,0.007206463296769286,0.04507638466858066,0.09344386403209937,TX_4
XGBoost,0.7981822419016547,0.0808078509889576,0.008711388853971491,0.11585787468140418,TX_4
LogisticRegression,0.7864752200092635,0.030389931916649515,0.00990873533246417,0.13027515769328413,PA_2
XGBoost,0.7975914775358962,0.0355276066096447,0.0929595827900912,0.15660944792704123,PA_2
LogisticRegression,0.7560975609756098,0.18840579710144928,0.43902439024390244,0.14942528735632188,SD_3
XGBoost,0.75,0.18840579710144928,0.43902439024390244,0.14942528735632188,SD_3
LogisticRegression,0.742914979757085,0.03983496421790565,0.25825825825825827,0.16538090646094505,NV_0
XGBoost,0.7489878542510121,0.08325297332047565,0.08172458172458175,0.18804243008678884,NV_0
LogisticRegression,0.7463343108504399,0.03962903950647548,0.05170561375235025,0.045460366244077344,LA_2
XGBoost,0.750733137829912,0.04837662337662341,0.11055152654669174,0.15147052546207368,LA_2
LogisticRegression,0.8110091743119267,0.023308270676691722,0.08786127167630065,0.2310344827586207,UT_1
XGBoost,0.8,0.02932330827067675,0.33988439306358376,0.12154696132596685,UT_1
LogisticRegression,0.7608318890814558,0.1609831029185868,0.21379310344827585,0.09165487977369169,OK_0
XGBoost,0.7902946273830156,0.2583717357910907,0.2017241379310345,0.08741159830268747,OK_0
LogisticRegression,0.7853211009174312,0.08407391733671876,0.11931818181818177,0.151349158044228,UT_0
XGBoost,0.7853211009174312,0.1972069403300889,0.0924343638340842,0.12601548007420202,UT_0
LogisticRegression,0.8137931034482758,0.11219336219336218,0.3801546391752577,0.14035087719298245,MS_5
XGBoost,0.7908045977011494,0.04365079365079366,0.22422680412371132,0.1298245614035088,MS_5
LogisticRegression,0.7847133757961784,0.0378344367237512,0.05703309692671393,0.0652667170885795,MI_4
XGBoost,0.8165605095541402,0.1197406576571648,0.08141252955082734,0.11955404815473991,MI_4
LogisticRegression,0.7917737789203085,0.03022222222222226,0.1303096738832557,0.19377180381695058,OH_3
XGBoost,0.8046272493573264,0.10088888888888892,0.06631953959989045,0.19074492099322804,OH_3
