model,accuracy,value_DP_SEX,DP_SEX,value_DP_RACE,DP_RACE,value_DP_MAR,DP_MAR,dataset
XGBoost,0.8092377018400301,1.0_2.0,0.13136098037878274,1.0_5.0,0.2206522511637824,1.0_2.0,0.26149336536261725,WA_2
LogisticRegression,0.7558066541117389,1.0_2.0,0.06468965370317109,3.0_5.0,0.3391558346721192,1.0_2.0,0.29639912163392995,NJ_1
XGBoost,0.788135593220339,1.0_2.0,0.1361965934873614,3.0_5.0,0.3235139477143275,1.0_2.0,0.31129220181054384,NJ_1
LogisticRegression,0.7718141870684243,1.0_2.0,0.03738352094163788,3.0_4.0,0.44248466257668717,1.0_2.0,0.29570967617281085,NJ_2
XGBoost,0.7928436911487758,1.0_2.0,0.12388666622683114,3.0_4.0,0.46702453987730064,1.0_2.0,0.3048825256975037,NJ_2
LogisticRegression,0.7706907967336128,1.0_2.0,0.058015740519681225,3.0_5.0,0.21990906670489685,1.0_2.0,0.20820469086011972,TX_0
XGBoost,0.809203266387111,1.0_2.0,0.11038219253786641,3.0_5.0,0.2242406865054171,1.0_2.0,0.24866609772415116,TX_0
LogisticRegression,0.7668285146766718,1.0_2.0,0.04203558022138926,3.0_5.0,0.27667550896481186,1.0_2.0,0.2250587242771124,TX_1
XGBoost,0.8028029132641801,1.0_2.0,0.10973160106687391,3.0_5.0,0.2932851800952411,1.0_2.0,0.24262963059239445,TX_1
LogisticRegression,0.7790774663429706,1.0_2.0,0.042979716780571386,3.0_5.0,0.27565436053713044,1.0_2.0,0.22002228788850772,TX_2
XGBoost,0.8099757227984993,1.0_2.0,0.11807407505830708,3.0_5.0,0.32665935923061523,1.0_2.0,0.22613674142443338,TX_2
LogisticRegression,0.7808946171341926,1.0_2.0,0.04233907149463684,1.0_4.0,0.55637707948244,1.0_2.0,0.30198081821851636,CT_1
XGBoost,0.8059135708870356,1.0_2.0,0.1443651440062213,1.0_4.0,0.5508317929759704,1.0_2.0,0.2864553608300041,CT_1
LogisticRegression,0.7680060652009097,1.0_2.0,0.029618014521610003,1.0_4.0,0.522252497729337,1.0_2.0,0.3072970123997892,CT_2
XGBoost,0.7884761182714177,1.0_2.0,0.10401022674496135,1.0_4.0,0.5004541326067211,1.0_2.0,0.31489777802435576,CT_2
LogisticRegression,0.7619047619047619,1.0_2.0,0.07153231663035586,3.0_4.0,0.6363636363636364,1.0_2.0,0.20727272727272728,DE_0
XGBoost,0.7587301587301587,1.0_2.0,0.040305010893246174,3.0_4.0,0.5454545454545454,1.0_2.0,0.1872727272727273,DE_0
LogisticRegression,0.7841269841269841,1.0_2.0,0.06260685500284946,3.0_4.0,0.6666666666666666,1.0_2.0,0.26482213438735175,DE_1
XGBoost,0.780952380952381,1.0_2.0,0.1364894569730522,3.0_4.0,0.5,1.0_2.0,0.28176171654432525,DE_1
LogisticRegression,0.7707006369426752,1.0_2.0,0.00724519700423315,1.0_5.0,0.3805668016194332,1.0_2.0,0.16794481639277742,DE_2
XGBoost,0.8089171974522293,1.0_2.0,0.036470205144903955,3.0_5.0,0.3888888888888889,1.0_2.0,0.1814972611077298,DE_2
LogisticRegression,0.7669351018474656,2.0_1.0,0.00021611108109567678,3.0_4.0,0.4,1.0_2.0,0.1592127760194987,MO_0
XGBoost,0.8072003789673141,1.0_2.0,0.09395429250634826,3.0_4.0,0.45714285714285713,1.0_2.0,0.20818145439994182,MO_0
LogisticRegression,0.7565135007105637,1.0_2.0,0.04605017486158289,4.0_5.0,0.4672619047619047,1.0_2.0,0.17256109712132467,MO_1
XGBoost,0.7868308858360966,1.0_2.0,0.11151106259829233,3.0_5.0,0.1630952380952381,1.0_2.0,0.21253736480733346,MO_1
LogisticRegression,0.7598294647086689,1.0_2.0,0.01755294100730803,3.0_4.0,0.42857142857142855,1.0_2.0,0.1390770200031501,MO_2
XGBoost,0.7963050686878257,1.0_2.0,0.0891100231139485,3.0_4.0,0.4857142857142857,1.0_2.0,0.1666321742665939,MO_2
LogisticRegression,0.7690288713910761,1.0_2.0,0.054541946863631396,1.0_4.0,0.5072046109510087,1.0_2.0,0.22647823441562032,RI_0
XGBoost,0.7769028871391076,1.0_2.0,0.14317605556168006,1.0_4.0,0.4812680115273775,1.0_2.0,0.23942142817633721,RI_0
LogisticRegression,0.7769028871391076,1.0_2.0,0.07098322666078127,4.0_5.0,0.8571428571428572,1.0_2.0,0.2655001377790025,RI_2
XGBoost,0.8057742782152231,1.0_2.0,0.053961597881262424,4.0_5.0,0.8571428571428572,1.0_2.0,0.2601543124827776,RI_2
LogisticRegression,0.7219512195121951,1.0_2.0,0.061378388697976294,1.0_2.0,0.31693989071038253,1.0_2.0,0.17207348055501273,WY_0
XGBoost,0.7707317073170732,1.0_2.0,0.1676212294768996,1.0_2.0,0.3989071038251366,1.0_2.0,0.14627711549736172,WY_0
LogisticRegression,0.7784403669724771,1.0_2.0,0.09633898305084745,1.0_2.0,0.13305798877441413,1.0_2.0,0.247868125701948,WI_0
XGBoost,0.7954128440366972,1.0_2.0,0.1374406779661017,1.0_2.0,0.2006308718740072,1.0_2.0,0.26306984671067934,WI_0
LogisticRegression,0.7380733944954129,1.0_2.0,0.04235751644559477,1.0_5.0,0.20029957947229354,1.0_2.0,0.16907986111111115,WI_1
XGBoost,0.771559633027523,1.0_2.0,0.166309446780977,1.0_5.0,0.2043466934613524,1.0_2.0,0.18659722222222225,WI_1
LogisticRegression,0.7568807339449541,1.0_2.0,0.09088910702071662,1.0_5.0,0.22519743913266976,1.0_2.0,0.19639081801843686,WI_2
XGBoost,0.7935779816513762,1.0_2.0,0.15720794642411762,1.0_5.0,0.20725267535866163,1.0_2.0,0.20674603908391517,WI_2
LogisticRegression,0.7732686369651521,1.0_2.0,0.03332612480470373,4.0_5.0,0.3152542372881356,1.0_2.0,0.15803125856868658,TN_0
