model,accuracy,DP_SEX,DP_RACE,DP_MAR,dataset
XGBoost,0.7980553477935677,0.099262451721468,0.1550799360511591,0.3136148468604031,MA_4
LogisticRegression,0.7834061135371179,0.1300869821070634,0.118041804180418,0.1696579229943242,IN_0
XGBoost,0.8113537117903931,0.1859388121640094,0.0534653465346534,0.2423684614204632,IN_0
LogisticRegression,0.7528384279475983,0.1384856169753994,0.0833486971484759,0.1762231390000187,IN_2
XGBoost,0.7720524017467248,0.1850283004998529,0.1083072148475909,0.234925697309375,IN_2
LogisticRegression,0.7737991266375546,0.0969868866951525,0.0181852894849887,0.1568892343376021,IN_3
XGBoost,0.7930131004366813,0.1734167035017926,0.0658282023133343,0.1603714807412342,IN_3
LogisticRegression,0.8160919540229885,0.0913461538461538,0.0552845528455284,0.1223290598290598,WV_0
XGBoost,0.8122605363984674,0.2446581196581196,0.0308943089430894,0.1981837606837607,WV_0
LogisticRegression,0.7739463601532567,0.1329151378861403,0.1733870967741935,0.1258620689655172,WV_5
XGBoost,0.7662835249042146,0.124748490945674,0.2217741935483871,0.1,WV_5
LogisticRegression,0.771376591873863,0.0427207834867146,0.1391189572677776,0.1660672417647591,FL_5
XGBoost,0.7935112189205579,0.0901072288868401,0.1340349305866547,0.1762545705147984,FL_5
LogisticRegression,0.7864864864864864,0.0463237038168236,0.1564740575129134,0.1674611008650025,AZ_0
XGBoost,0.8117117117117117,0.090402217247351,0.1863098450389329,0.1986713250383146,AZ_0
LogisticRegression,0.7828828828828829,0.0154901960784313,0.1748563218390804,0.2008955679452917,AZ_5
XGBoost,0.7981981981981981,0.0944117647058823,0.1445402298850574,0.2015807196365774,AZ_5
LogisticRegression,0.7698008337193145,0.0991644416794117,0.0733762274227801,0.1761585954349545,PA_0
XGBoost,0.7901806391848077,0.1882840379846368,0.0950019975188713,0.23593849627361,PA_0
LogisticRegression,0.76146364057434,0.1026803994919595,0.0869936158347275,0.2019834770710672,PA_1
XGBoost,0.7920333487725799,0.1633945364824441,0.088213016372429,0.243821177820162,PA_1
LogisticRegression,0.7878647522000927,0.1261612000540939,0.0628221964394238,0.2142473127573581,PA_2
XGBoost,0.8100972672533581,0.1729039450460665,0.115096111755681,0.2567237248346511,PA_2
LogisticRegression,0.7809170912459472,0.1345025293942602,0.1302410216178521,0.1756658660353576,PA_3
XGBoost,0.8087077350625289,0.178615545913177,0.134233350767085,0.2197120830955291,PA_3
LogisticRegression,0.7647058823529411,0.0979150985869465,0.0690826330532212,0.204055875040331,PA_5
XGBoost,0.7892542843909217,0.179290396485879,0.07296918767507,0.2385817981672904,PA_5
LogisticRegression,0.7591729761211415,0.0264612857685833,0.1630229878166569,0.259046423544883,NY_0
XGBoost,0.7929528246942341,0.0870601889558559,0.1472967166923122,0.2415520070860707,NY_0
LogisticRegression,0.7550960978450786,0.0007323547120529,0.1551362342415616,0.2232362144250887,NY_1
XGBoost,0.7944088526499709,0.0556243586808117,0.1429332332301018,0.2270538939381192,NY_1
LogisticRegression,0.7626674432149098,0.0325004165545391,0.1795721746399922,0.2150499375461161,NY_2
XGBoost,0.7830518345952242,0.0915659837660806,0.1552422094962169,0.2161841614224148,NY_2
LogisticRegression,0.7597553873034363,0.0106589229467071,0.1354925115459962,0.2493556150869583,NY_3
XGBoost,0.8005241700640652,0.0563708436730879,0.1440026593689929,0.2536105795807288,NY_3
LogisticRegression,0.7644146767617939,0.0037238944921436,0.1536844779213854,0.2263040803187977,NY_4
XGBoost,0.8031450203843914,0.0484930574707029,0.1529312048303375,0.2299556138678141,NY_4
LogisticRegression,0.7507280139778684,0.0280656947060115,0.1408113096956495,0.2548121444186456,NY_5
XGBoost,0.7958648806057076,0.0911130841492471,0.1674879576619596,0.253351799801757,NY_5
LogisticRegression,0.7770114942528735,0.0495771670190275,0.1345761228854753,0.1094356524335622,MS_4
XGBoost,0.7885057471264367,0.045983086680761,0.135329574178495,0.1336006483811799,MS_4
LogisticRegression,0.8137931034482758,0.0205479452054794,0.1560989346224245,0.1497297297297297,MS_5
XGBoost,0.8114942528735632,0.0716641298833079,0.1951236682780306,0.1895135135135135,MS_5
LogisticRegression,0.7707373271889401,0.0434527507420445,0.1368209609444808,0.2047067139334488,NC_1
XGBoost,0.7978110599078341,0.099261406778491,0.131822051487712,0.2126573535997755,NC_1
LogisticRegression,0.7823033707865169,0.0960949163196354,0.0904139433551198,0.2344577464788732,IL_2
XGBoost,0.8014981273408239,0.1824467667164296,0.1401484204793028,0.2578309859154929,IL_2
LogisticRegression,0.7813670411985019,0.0994983041266252,0.0570219718619954,0.2254583898536198,IL_3
XGBoost,0.7982209737827716,0.1471876766534765,0.0923994362549483,0.2387257523543724,IL_3
LogisticRegression,0.7752808988764045,0.1207486351902269,0.0745515988691047,0.243712979526933,IL_4
XGBoost,0.8103932584269663,0.229626599331349,0.1006083446710734,0.2428463526137945,IL_4
LogisticRegression,0.7789808917197453,0.1081843590149237,0.0316014470080752,0.1946063720452209,MI_0
XGBoost,0.8012738853503185,0.1793228919474766,0.0524804094934417,0.204563206577595,MI_0
LogisticRegression,0.7726114649681529,0.1166150670794634,0.0562648370100168,0.1763856812933025,MI_1
XGBoost,0.789171974522293,0.1993909772092252,0.0421805338428579,0.1974563038001259,MI_1
LogisticRegression,0.79171974522293,0.1243230033552613,6.865184930918145e-05,0.1823711676451402,MI_2
XGBoost,0.8159235668789809,0.2008995799318379,0.0179181326696987,0.2018754076973254,MI_2
LogisticRegression,0.7853503184713376,0.1041384123138504,0.0314607037505267,0.1803516102996693,MI_3
XGBoost,0.8044585987261147,0.1969202206802111,0.0437605351875263,0.2052709000494676,MI_3
LogisticRegression,0.7847133757961784,0.1058984726481255,0.0187955667556292,0.1520427599421582,MI_4
XGBoost,0.8248407643312102,0.2121116266567891,0.0477704410206244,0.2170171166643081,MI_4
LogisticRegression,0.7542168674698795,0.0631013805605912,0.1580407769332851,0.1945679012345678,SC_0
XGBoost,0.7771084337349398,0.0635313531353135,0.1897544939075883,0.233754538852578,SC_0
LogisticRegression,0.7493975903614458,0.0377084591443303,0.1286994916758982,0.1949478179759593,SC_1
XGBoost,0.7783132530120482,0.0370464997445069,0.1697425381635908,0.2245381641548506,SC_1
LogisticRegression,0.7518072289156627,0.0462394831032398,0.1515598411798071,0.1659467557374278,SC_2
XGBoost,0.791566265060241,0.1028796541625993,0.1751937984496124,0.222624439664469,SC_2
LogisticRegression,0.7807228915662651,0.0232477103647735,0.1450224849909831,0.1636473711172169,SC_4
XGBoost,0.7963855421686747,0.099390785706404,0.1293704963438111,0.2045359288408699,SC_4
LogisticRegression,0.7675334909377463,0.1433591679079043,0.0836836836836836,0.2696601643970064,WA_3
XGBoost,0.7927501970055162,0.1924894599984852,0.121021021021021,0.2939056557477609,WA_3
LogisticRegression,0.77698975571316,0.1636920785552911,0.1094312348811138,0.2775707879823466,WA_5
XGBoost,0.7911741528762806,0.2345588938255702,0.1040916868251813,0.3093084743363547,WA_5
LogisticRegression,0.7501569365976145,0.0593381898064565,0.1434571923037769,0.2870056150570061,NJ_1
XGBoost,0.7865662272441933,0.1120450212733722,0.1484027282907462,0.2763227995854093,NJ_1
LogisticRegression,0.775894538606403,0.0776216240131973,0.1257056690057558,0.2738270819476175,NJ_3
XGBoost,0.7959824231010671,0.0995272196342905,0.173793660805803,0.3331405380915199,NJ_3
LogisticRegression,0.7821720025109855,0.0086246092639954,0.1415598721694078,0.3047465437788018,NJ_4
